,Lesezeichen,Arbeitsvorgang,AVO-Kurztext,AVO-Langtext,Vorgänge,Teile pro Vorgang,VD-Wert,VD-Kurztext,label,Lfd.Nr.,Beschreibung,Langcode,Kurzcode,tg,A,H,T,n (Wert),tg*n
446,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2007KV/4PZ21402/21402BE:8WK,8WK: 21402BE,LW 2x2m Führungslenker holen,LW 2x2m Führungslenker holen,1.0,1.0,4PZ21402,Führungslenker an Hilfsrahmen,5.0,1,LW 2x2m Führungslenker holen,3000KA.....5,KA,0.015,4.0,1.0,1,4.0,0.06
447,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2007KV/4PZ21402/21402BD:8WK,8WK: 21402BD,LW 2x1m Schraube/Mutter Führungslenker holen,LW 2x1m Schraube/Mutter Führungslenker holen,1.0,1.0,4PZ21402,bestückte Werkzeugbox in Kofferraum plazieren,5.0,1,LW 2x1m Schraube/Mutter Führungslenker holen,3000KA.....5,KA,0.015,2.0,1.0,1,2.0,0.03
448,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2007KV/4PZ21402/21402BC:8WK,8WK: 21402BC,Teile/Schrauben bereitstellen,,1.0,5.0,4PZ21402,bestückte Werkzeugbox in Kofferraum plazieren,5.0,1,Leergut aufnehmen und ablegen,3000AL3....5,AL3,0.0689999999999999,1.0,1.0,1,1.0,0.0689999999999999
449,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2007KV/4PZ21402/21402BC:8WK,8WK: 21402BC,Teile/Schrauben bereitstellen,,1.0,5.0,4PZ21402,bestückte Werkzeugbox in Kofferraum plazieren,5.0,2,gehen,3000KA.....5,KA,0.015,10.0,1.0,1,10.0,0.15
450,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452F:8WK,8WK: 21452F,Ausgang aus Prüfstand bestätigen,Druckknopf für Ausgang aus Prüfstand betätigen. ,1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,1,betätigen,3000BA2....6,BA2,0.015,1.0,1.0,1,1.0,0.015
451,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452E:8WK,8WK: 21452E,Spureinstellung VA Ende bestätigen,Ergebnis auf Display prüfen. Druckknopf für Spureinstellung Ende 1x betätigen. ,1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,1,Visuelle Kontrolle,3000VA.....6,VA,0.009,1.0,1.0,1,1.0,0.009
452,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452E:8WK,8WK: 21452E,Spureinstellung VA Ende bestätigen,Ergebnis auf Display prüfen. Druckknopf für Spureinstellung Ende 1x betätigen. ,1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,2,betätigen,3000BA2....6,BA2,0.015,1.0,1.0,1,1.0,0.015
453,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AG:8WK,8WK: 21452AG,Spur vorne rechts mit EDS festziehen,"Auf rechte Seite drehen, EDS Schlüssel und Gegenhalteschlüssel an Spurstange aufsetzen. Kontermutter mit EDS festziehen, bis Signallampen aufleuchten und akustisches Signal ertönt, dabei Anzeige kontrolieren. Schlüssel ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,1,auf rechte Seite drehen,3000KA.....6,KA,0.015,1.0,1.0,1,1.0,0.015
454,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AG:8WK,8WK: 21452AG,Spur vorne rechts mit EDS festziehen,"Auf rechte Seite drehen, EDS Schlüssel und Gegenhalteschlüssel an Spurstange aufsetzen. Kontermutter mit EDS festziehen, bis Signallampen aufleuchten und akustisches Signal ertönt, dabei Anzeige kontrolieren. Schlüssel ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,2,EDS ansetzen,3000PC2....6,PC2,0.024,1.0,1.0,1,1.0,0.024
455,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AG:8WK,8WK: 21452AG,Spur vorne rechts mit EDS festziehen,"Auf rechte Seite drehen, EDS Schlüssel und Gegenhalteschlüssel an Spurstange aufsetzen. Kontermutter mit EDS festziehen, bis Signallampen aufleuchten und akustisches Signal ertönt, dabei Anzeige kontrolieren. Schlüssel ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,3,und erste Bewegung,3000ZA1....6,ZA1,0.003,1.0,1.0,1,1.0,0.003
456,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AG:8WK,8WK: 21452AG,Spur vorne rechts mit EDS festziehen,"Auf rechte Seite drehen, EDS Schlüssel und Gegenhalteschlüssel an Spurstange aufsetzen. Kontermutter mit EDS festziehen, bis Signallampen aufleuchten und akustisches Signal ertönt, dabei Anzeige kontrolieren. Schlüssel ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,4,umsetzen,3000ZC1....6,ZC1,0.018,1.0,1.0,1,1.0,0.018
457,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AG:8WK,8WK: 21452AG,Spur vorne rechts mit EDS festziehen,"Auf rechte Seite drehen, EDS Schlüssel und Gegenhalteschlüssel an Spurstange aufsetzen. Kontermutter mit EDS festziehen, bis Signallampen aufleuchten und akustisches Signal ertönt, dabei Anzeige kontrolieren. Schlüssel ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,5,festziehen mit Kraft,3000ZD.....6,ZD,0.012,1.0,1.0,1,1.0,0.012
458,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AG:8WK,8WK: 21452AG,Spur vorne rechts mit EDS festziehen,"Auf rechte Seite drehen, EDS Schlüssel und Gegenhalteschlüssel an Spurstange aufsetzen. Kontermutter mit EDS festziehen, bis Signallampen aufleuchten und akustisches Signal ertönt, dabei Anzeige kontrolieren. Schlüssel ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,6,Anzeige kontrolieren,3000VA.....6,VA,0.009,1.0,1.0,1,1.0,0.009
459,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AG:8WK,8WK: 21452AG,Spur vorne rechts mit EDS festziehen,"Auf rechte Seite drehen, EDS Schlüssel und Gegenhalteschlüssel an Spurstange aufsetzen. Kontermutter mit EDS festziehen, bis Signallampen aufleuchten und akustisches Signal ertönt, dabei Anzeige kontrolieren. Schlüssel ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,7,3 Signallampen,PT.MIN,PT.SEC,0.016666668,3.0,1.0,1,3.0,0.0500000039999999
460,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AG:8WK,8WK: 21452AG,Spur vorne rechts mit EDS festziehen,"Auf rechte Seite drehen, EDS Schlüssel und Gegenhalteschlüssel an Spurstange aufsetzen. Kontermutter mit EDS festziehen, bis Signallampen aufleuchten und akustisches Signal ertönt, dabei Anzeige kontrolieren. Schlüssel ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,8,Schlüssel ablegen,3000PA3....6,PA3,0.015,1.0,1.0,1,1.0,0.015
461,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AF:8WK,8WK: 21452AF,Spur rechts vorne einstellen,"Einstellschlüssel von Ablage nehmen, an Anzeige Spurabweichung rechts Plus/Minus/i.O feststellen und Spurstange entsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen. Einstellschlüssel abnehmen. ",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,1,Schlüssel auf Mutter,3000AB3....6,AB3,0.036,1.0,1.0,1,1.0,0.036
462,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AF:8WK,8WK: 21452AF,Spur rechts vorne einstellen,"Einstellschlüssel von Ablage nehmen, an Anzeige Spurabweichung rechts Plus/Minus/i.O feststellen und Spurstange entsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen. Einstellschlüssel abnehmen. ",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,2,einstellen,3000ZA1....6,ZA1,0.003,1.0,1.0,1,1.0,0.003
463,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AF:8WK,8WK: 21452AF,Spur rechts vorne einstellen,"Einstellschlüssel von Ablage nehmen, an Anzeige Spurabweichung rechts Plus/Minus/i.O feststellen und Spurstange entsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen. Einstellschlüssel abnehmen. ",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,3,umsetzen,3000ZC1....6,ZC1,0.018,5.0,1.0,1,5.0,0.09
464,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AF:8WK,8WK: 21452AF,Spur rechts vorne einstellen,"Einstellschlüssel von Ablage nehmen, an Anzeige Spurabweichung rechts Plus/Minus/i.O feststellen und Spurstange entsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen. Einstellschlüssel abnehmen. ",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,4,Anzeige kontrolieren,3000VA.....6,VA,0.009,5.0,1.0,1,5.0,0.045
465,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AF:8WK,8WK: 21452AF,Spur rechts vorne einstellen,"Einstellschlüssel von Ablage nehmen, an Anzeige Spurabweichung rechts Plus/Minus/i.O feststellen und Spurstange entsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen. Einstellschlüssel abnehmen. ",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,5,Anzeige abwarten,LO-WS,PT.TMU,0.0006,50.0,1.0,1,50.0,0.03
466,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AF:8WK,8WK: 21452AF,Spur rechts vorne einstellen,"Einstellschlüssel von Ablage nehmen, an Anzeige Spurabweichung rechts Plus/Minus/i.O feststellen und Spurstange entsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen. Einstellschlüssel abnehmen. ",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,6,Kontermutter handfest,3000AA2....6,AA2,0.0209999999999999,1.0,1.0,1,1.0,0.0209999999999999
467,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AF:8WK,8WK: 21452AF,Spur rechts vorne einstellen,"Einstellschlüssel von Ablage nehmen, an Anzeige Spurabweichung rechts Plus/Minus/i.O feststellen und Spurstange entsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen. Einstellschlüssel abnehmen. ",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,7,handfest,3000ZB1....6,ZB1,0.006,4.0,1.0,1,4.0,0.024
468,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AF:8WK,8WK: 21452AF,Spur rechts vorne einstellen,"Einstellschlüssel von Ablage nehmen, an Anzeige Spurabweichung rechts Plus/Minus/i.O feststellen und Spurstange entsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen. Einstellschlüssel abnehmen. ",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,8,Schlüssel abnehmen,3000PA1....6,PA1,0.006,1.0,1.0,1,1.0,0.006
469,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AE:8WK,8WK: 21452AE,Kontermutter an Spurstangen rechts lösen,"Auf rechte Seite drehen EDS bereits in Hand auf  Kontermutter rechts setzen und lösen, Mutter von Hand zurückdrehen, EDS ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,1,auf rechte Seite,3000KA.....6,KA,0.015,1.0,1.0,1,1.0,0.015
470,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AE:8WK,8WK: 21452AE,Kontermutter an Spurstangen rechts lösen,"Auf rechte Seite drehen EDS bereits in Hand auf  Kontermutter rechts setzen und lösen, Mutter von Hand zurückdrehen, EDS ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,2,Schlüssel ansetzen an Mutter,3000PC2....6,PC2,0.024,1.0,1.0,1,1.0,0.024
471,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AE:8WK,8WK: 21452AE,Kontermutter an Spurstangen rechts lösen,"Auf rechte Seite drehen EDS bereits in Hand auf  Kontermutter rechts setzen und lösen, Mutter von Hand zurückdrehen, EDS ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,3,visuelle Kontrolle,3000VA.....6,VA,0.009,1.0,1.0,1,1.0,0.009
472,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AE:8WK,8WK: 21452AE,Kontermutter an Spurstangen rechts lösen,"Auf rechte Seite drehen EDS bereits in Hand auf  Kontermutter rechts setzen und lösen, Mutter von Hand zurückdrehen, EDS ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,4,lösen,3000ZA1....6,ZA1,0.003,1.0,1.0,1,1.0,0.003
473,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AE:8WK,8WK: 21452AE,Kontermutter an Spurstangen rechts lösen,"Auf rechte Seite drehen EDS bereits in Hand auf  Kontermutter rechts setzen und lösen, Mutter von Hand zurückdrehen, EDS ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,5,lösen,3000ZD.....6,ZD,0.012,1.0,1.0,1,1.0,0.012
474,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AE:8WK,8WK: 21452AE,Kontermutter an Spurstangen rechts lösen,"Auf rechte Seite drehen EDS bereits in Hand auf  Kontermutter rechts setzen und lösen, Mutter von Hand zurückdrehen, EDS ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,6,umsetzen,3000ZC1....6,ZC1,0.018,4.0,1.0,1,4.0,0.072
475,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AE:8WK,8WK: 21452AE,Kontermutter an Spurstangen rechts lösen,"Auf rechte Seite drehen EDS bereits in Hand auf  Kontermutter rechts setzen und lösen, Mutter von Hand zurückdrehen, EDS ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,7,Schlüssel ablegen,3000PA3....6,PA3,0.015,1.0,1.0,1,1.0,0.015
476,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AE:8WK,8WK: 21452AE,Kontermutter an Spurstangen rechts lösen,"Auf rechte Seite drehen EDS bereits in Hand auf  Kontermutter rechts setzen und lösen, Mutter von Hand zurückdrehen, EDS ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,8,Mutter,3000AA2....6,AA2,0.0209999999999999,1.0,1.0,1,1.0,0.0209999999999999
477,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AE:8WK,8WK: 21452AE,Kontermutter an Spurstangen rechts lösen,"Auf rechte Seite drehen EDS bereits in Hand auf  Kontermutter rechts setzen und lösen, Mutter von Hand zurückdrehen, EDS ablegen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,9,zurückdrehen,3000ZB1....6,ZB1,0.006,6.0,1.0,1,6.0,0.036
478,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AD:8WK,8WK: 21452AD,Spur vorne links mit EDS festziehen,"EDS Schlüssel aufnehmen und an Spurstange aufsetzen. Kontermutter mit EDS festziehen, bis Signallampen aufleuchten und akustisches Signal ertönt, dabei Anzeige kontrollieren. Schlüssel abnehmen. ",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,1,"EDS aufnehmen, ansetzen",3000AK3....6,AK3,0.051,1.0,1.0,1,1.0,0.051
479,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AD:8WK,8WK: 21452AD,Spur vorne links mit EDS festziehen,"EDS Schlüssel aufnehmen und an Spurstange aufsetzen. Kontermutter mit EDS festziehen, bis Signallampen aufleuchten und akustisches Signal ertönt, dabei Anzeige kontrollieren. Schlüssel abnehmen. ",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,2,und erste Bewegung,3000ZA1....6,ZA1,0.003,1.0,1.0,1,1.0,0.003
480,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AD:8WK,8WK: 21452AD,Spur vorne links mit EDS festziehen,"EDS Schlüssel aufnehmen und an Spurstange aufsetzen. Kontermutter mit EDS festziehen, bis Signallampen aufleuchten und akustisches Signal ertönt, dabei Anzeige kontrollieren. Schlüssel abnehmen. ",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,3,umsetzen,3000ZC1....6,ZC1,0.018,1.0,1.0,1,1.0,0.018
481,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AD:8WK,8WK: 21452AD,Spur vorne links mit EDS festziehen,"EDS Schlüssel aufnehmen und an Spurstange aufsetzen. Kontermutter mit EDS festziehen, bis Signallampen aufleuchten und akustisches Signal ertönt, dabei Anzeige kontrollieren. Schlüssel abnehmen. ",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,4,Kraftaufwand,3000ZD.....6,ZD,0.012,1.0,1.0,1,1.0,0.012
482,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AD:8WK,8WK: 21452AD,Spur vorne links mit EDS festziehen,"EDS Schlüssel aufnehmen und an Spurstange aufsetzen. Kontermutter mit EDS festziehen, bis Signallampen aufleuchten und akustisches Signal ertönt, dabei Anzeige kontrollieren. Schlüssel abnehmen. ",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,5,Anzeige kontrolieren,3000VA.....6,VA,0.009,1.0,1.0,1,1.0,0.009
483,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AD:8WK,8WK: 21452AD,Spur vorne links mit EDS festziehen,"EDS Schlüssel aufnehmen und an Spurstange aufsetzen. Kontermutter mit EDS festziehen, bis Signallampen aufleuchten und akustisches Signal ertönt, dabei Anzeige kontrollieren. Schlüssel abnehmen. ",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,6,aufleuchten 3 Signallampen,M-EVD.1,PT.SEC,0.016666668,3.0,1.0,1,3.0,0.0500000039999999
484,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AD:8WK,8WK: 21452AD,Spur vorne links mit EDS festziehen,"EDS Schlüssel aufnehmen und an Spurstange aufsetzen. Kontermutter mit EDS festziehen, bis Signallampen aufleuchten und akustisches Signal ertönt, dabei Anzeige kontrollieren. Schlüssel abnehmen. ",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,7,Schlüssel abnehmen,3000PA1....6,PA1,0.006,1.0,1.0,1,1.0,0.006
485,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AC:8WK,8WK: 21452AC,Spur links vorne einstellen,"Auf linke Seite drehen. Einstellschlüssel auf Mutter, an Anzeige Spurabweichung Links Plus/Minus/i.O feststellen und Spurstangeentsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen.Einstellschlüssel abnehmen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,1,auf linke Seite,3000KA.....6,KA,0.015,1.0,1.0,1,1.0,0.015
486,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AC:8WK,8WK: 21452AC,Spur links vorne einstellen,"Auf linke Seite drehen. Einstellschlüssel auf Mutter, an Anzeige Spurabweichung Links Plus/Minus/i.O feststellen und Spurstangeentsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen.Einstellschlüssel abnehmen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,2,Schlüssel auf Mutter,3000PB2....6,PB2,0.018,1.0,1.0,1,1.0,0.018
487,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AC:8WK,8WK: 21452AC,Spur links vorne einstellen,"Auf linke Seite drehen. Einstellschlüssel auf Mutter, an Anzeige Spurabweichung Links Plus/Minus/i.O feststellen und Spurstangeentsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen.Einstellschlüssel abnehmen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,3,einstellen,3000ZA1....6,ZA1,0.003,1.0,1.0,1,1.0,0.003
488,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AC:8WK,8WK: 21452AC,Spur links vorne einstellen,"Auf linke Seite drehen. Einstellschlüssel auf Mutter, an Anzeige Spurabweichung Links Plus/Minus/i.O feststellen und Spurstangeentsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen.Einstellschlüssel abnehmen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,4,umsetzen,3000ZC1....6,ZC1,0.018,5.0,1.0,1,5.0,0.09
489,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AC:8WK,8WK: 21452AC,Spur links vorne einstellen,"Auf linke Seite drehen. Einstellschlüssel auf Mutter, an Anzeige Spurabweichung Links Plus/Minus/i.O feststellen und Spurstangeentsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen.Einstellschlüssel abnehmen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,5,Anzeige kontrolieren,3000VA.....6,VA,0.009,5.0,1.0,1,5.0,0.045
490,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AC:8WK,8WK: 21452AC,Spur links vorne einstellen,"Auf linke Seite drehen. Einstellschlüssel auf Mutter, an Anzeige Spurabweichung Links Plus/Minus/i.O feststellen und Spurstangeentsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen.Einstellschlüssel abnehmen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,6,Anzeige abwarten,M-KSJ.2,PT.TMU,0.0006,50.0,1.0,1,50.0,0.03
491,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AC:8WK,8WK: 21452AC,Spur links vorne einstellen,"Auf linke Seite drehen. Einstellschlüssel auf Mutter, an Anzeige Spurabweichung Links Plus/Minus/i.O feststellen und Spurstangeentsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen.Einstellschlüssel abnehmen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,7,Kontermutter handfest,3000AA2....6,AA2,0.0209999999999999,1.0,1.0,1,1.0,0.0209999999999999
492,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AC:8WK,8WK: 21452AC,Spur links vorne einstellen,"Auf linke Seite drehen. Einstellschlüssel auf Mutter, an Anzeige Spurabweichung Links Plus/Minus/i.O feststellen und Spurstangeentsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen.Einstellschlüssel abnehmen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,8,handfest,3000ZB1....6,ZB1,0.006,4.0,1.0,1,4.0,0.024
493,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AC:8WK,8WK: 21452AC,Spur links vorne einstellen,"Auf linke Seite drehen. Einstellschlüssel auf Mutter, an Anzeige Spurabweichung Links Plus/Minus/i.O feststellen und Spurstangeentsprechen einjustieren. Einstellvorgang an Anzeige kontrollieren. Kontermutter von Hand andrehen.Einstellschlüssel abnehmen.",1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,9,Schlüssel ablegen,3000PA3....6,PA3,0.015,1.0,1.0,1,1.0,0.015
494,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AB:8WK,8WK: 21452AB,Kontermutter an Spurstangen links lösen,EDS aufnehmen auf Kontermutter links setzen und lösen Schlüssel von Mutter nehmen und von Hand zurückdrehen.,1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,1,Schlüssel aufnehmen an 1 Mutter,3000AK3....6,AK3,0.051,1.0,1.0,1,1.0,0.051
495,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AB:8WK,8WK: 21452AB,Kontermutter an Spurstangen links lösen,EDS aufnehmen auf Kontermutter links setzen und lösen Schlüssel von Mutter nehmen und von Hand zurückdrehen.,1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,2,visuelle Kontrolle,3000VA.....6,VA,0.009,1.0,1.0,1,1.0,0.009
496,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AB:8WK,8WK: 21452AB,Kontermutter an Spurstangen links lösen,EDS aufnehmen auf Kontermutter links setzen und lösen Schlüssel von Mutter nehmen und von Hand zurückdrehen.,1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,3,lösen,3000ZA1....6,ZA1,0.003,1.0,1.0,1,1.0,0.003
497,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AB:8WK,8WK: 21452AB,Kontermutter an Spurstangen links lösen,EDS aufnehmen auf Kontermutter links setzen und lösen Schlüssel von Mutter nehmen und von Hand zurückdrehen.,1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,4,umsetzen,3000ZC1....6,ZC1,0.018,4.0,1.0,1,4.0,0.072
498,/22/4000/4201/P4PZ_000_000_______-A13_-__-____-AV/D/D06/2008KV/4PZ21452/21452AB:8WK,8WK: 21452AB,Kontermutter an Spurstangen links lösen,EDS aufnehmen auf Kontermutter links setzen und lösen Schlüssel von Mutter nehmen und von Hand zurückdrehen.,1.0,1.0,4PZ21452,Einstellung Fahrwerk unten,2.0,5,Kraftaufwand,3000ZD.....6,ZD,0.012,1.0,1.0,1,1.0,0.012
